X,rifampicin,isoniazid,ethambutol,pyrazinamide
Sample1,1,1,1,0
Sample2,1,1,0,0
Sample3,1,1,1,1
Sample4,1,1,1,1
Sample5,0,0,0,0
Sample6,1,1,1,0
Sample7,0,0,0,0
Sample8,0,0,0,0
Sample9,0,0,0,0
Sample10,0,0,0,0
Sample11,0,0,0,0
Sample12,0,0,0,0
Sample13,0,0,0,0
Sample14,0,0,0,0
Sample15,0,0,0,0
Sample16,0,0,0,0
Sample17,0,0,0,0
Sample18,0,0,0,0
Sample19,0,0,0,0
Sample20,1,1,1,0
Sample21,0,0,0,0
Sample22,1,1,1,0
Sample23,1,1,1,0
Sample24,0,1,0,0
Sample25,1,1,1,1
Sample26,0,1,1,1
Sample27,0,0,0,0
Sample28,0,0,0,0
Sample29,0,0,0,0
Sample30,0,0,0,0
Sample31,0,0,0,0
Sample32,0,0,0,0
Sample33,0,0,0,0
Sample34,0,0,0,0
Sample35,0,0,0,0
Sample36,0,0,0,0
Sample37,0,0,0,0
Sample38,0,0,0,0
Sample39,0,0,0,0
Sample40,0,0,0,0
Sample41,0,1,0,0
Sample42,0,0,0,0
Sample43,0,0,0,0
Sample44,0,0,0,0
Sample45,0,0,0,0
Sample46,0,1,0,0
Sample47,0,0,0,0
Sample48,0,0,0,0
Sample49,0,0,0,0
Sample50,0,0,0,0
Sample51,0,0,0,0
Sample52,0,0,0,0
Sample53,0,0,0,0
Sample54,0,1,0,0
Sample55,0,0,0,0
Sample56,0,0,0,0
Sample57,0,0,0,0
Sample58,0,0,0,0
Sample59,0,0,0,0
Sample60,0,1,0,0
Sample61,0,0,0,0
Sample62,0,0,0,0
Sample63,0,0,0,0
Sample64,0,0,0,0
Sample65,0,0,0,0
Sample66,0,0,0,0
Sample67,1,1,0,1
Sample68,0,0,0,0
Sample69,0,0,0,0
Sample70,0,1,0,0
Sample71,0,0,0,0
Sample72,0,0,0,0
Sample73,0,0,0,0
Sample74,0,0,0,0
Sample75,0,0,0,0
Sample76,0,0,0,0
Sample77,0,0,0,0
Sample78,0,0,0,0
Sample79,0,0,0,0
Sample80,0,0,0,0
